text,emotion
Aaj itna heavy lag raha hai ki khud se baat karne ki bhi himmat nahi,sad
Uske saath hone par bhi dil thoda unsure sa rehta hai,fear
Dard ke beech thoda sa hope bhi mehsoos ho raha hai,happy
Uski ek smile ne tension ke beech bhi hasi nikal di,fun
Samajhne ki koshish na hone par gussa aaya,angry
Uska saath bina solve kiye bhi comfort deta hai,love
Khud ke emotions itne layered honge ye expect nahi tha,surprise
Rona aa raha hai par aansu nahi nikal rahe,sad
Usse close hote hue bhi door ho jaane ka darr lagta hai,fear
Aaj thoda sa khud ko accept kar paaya,happy
Dark phase ke beech ek silly joke funny laga,fun
Khud ko ignore karte rehna ab gussa dilata hai,angry
Uski care shor ke bina bhi mehsoos hoti hai,love
Healing itni slow hogi ye socha nahi tha,surprise
Dil toot ke bhi chal raha hai,sad
Khush rehna seekh lunga ya nahi ye uncertainty hai,fear
Aaj pain ke beech bhi thodi shanti mili,happy
Old memories ko yaad karke halka sa fun feel hua,fun
Apni limits cross kar chuka hoon aur gussa aa raha hai,angry
Uske saath safe feel karna rare experience hai,love
Itna kuch feel karna ek saath unexpected hai,surprise
Thakaan sirf body ki nahi hoti ye aaj samajh aaya,sad
Close hone ka matlab lose ho jaana ho sakta hai ye darr hai,fear
Aaj khud ke liye khada ho paaya,happy
Therapy jaisi baat cheet surprisingly fun thi,fun
Bar bar strong rehne ka pressure gussa deta hai,angry
Uski patience mujhe slow heal karne deti hai,love
Emotions ka itna mix hona shocking hai,surprise
Dil chahta hai sab chhod du par hope rok leta hai,sad
Attachment ka weight thoda scary lagta hai,fear
Aaj pain ko accept kar paaya,happy
Heavy din ke beech thoda sa laughter zaroori tha,fun
Logon ka minimize karna gussa dila deta hai,angry
Uska bina judgement sunna priceless hai,love
Healing straight line nahi hoti ye realize hua,surprise
Kabhi lagta hai main hi broken hoon,sad
Khud ko open karna risky lagta hai,fear
Aaj thoda emotional control feel hua,happy
Random baatein unexpectedly fun rahi,fun
Bina samjhe advice dena irritate karta hai,angry
Uska emotional presence hi kaafi hai,love
Khud ke emotions itne complex honge ye nahi socha tha,surprise
Andar se empty feel hota hai par bahar normal dikhta hoon,sad
