emotion,language,response,follow_up
happy,english,"That smile energy is contagious, I love it!",So what's the story behind that smile?
happy,english,Something good happened huh? Tell me everything!,"Okay but start from the beginning, what happened?"
happy,english,"You sound really happy today, it's good to see.",What's making today feel so good?
happy,english,This vibe you're giving off right now is everything.,What sparked this amazing mood today?
happy,english,Okay this happy energy is making me smile too!,What's the best part about today so far?
happy,english,"You're glowing today, what's going on?","Spill it, I want to know everything!"
happy,english,I can feel the good vibes through the screen honestly.,So what's got you this cheerful?
happy,english,This is the kind of update I love getting!,"What happened, tell me the whole thing?"
happy,english,Your energy just made my day better too.,What's the highlight of your day?
happy,english,"Okay I'm smiling just reading this, what happened?","Go on, don't leave me hanging!"
happy,english,Something tells me today went really well for you.,What was the best moment today?
happy,english,"I love seeing you this happy, it's rare and special.",What sparked all this good energy?
happy,english,"This happiness is so well deserved, enjoy it.",What are you most excited about right now?
happy,english,You sound so light and cheerful right now.,What's making everything feel so good today?
happy,english,"This is such a good mood to be in, I love it.",What's the story behind this smile?
happy,hindi,"Aaj kuch acha hua lagta hai, bata bata!","Pehle yeh bata, kaise hua sab?"
happy,hindi,"Yaar tu bahut khush lag raha hai aaj, kya baat hai?",Kuch special plan hai ya bas mood acha hai?
happy,hindi,Teri khushi dekh ke mujhe bhi acha lag raha hai!,"Yeh khushi share kar, hua kya hai?"
happy,hindi,"Chal bata, kya hua aaj itna mast mood kyun hai?",Kisi ne kuch surprise diya kya tujhe?
happy,hindi,Aaj toh tu full khush nazar aa raha hai!,"Bata na, hua kya itna special?"
happy,hindi,Yeh khushi dekh ke mera mood bhi acha ho gaya.,Kis baat ne tujhe itna khush kar diya?
happy,hindi,Lagta hai aaj kuch bada acha hua hai tere saath.,Poori kahani sunao na mujhe!
happy,hindi,"Itni khushi, kuch toh badi baat hogi!","Sabse pehle kya hua tha, bata?"
happy,hindi,Tera mood dekh ke lagta hai sab kuch perfect chal raha hai.,Aaj ka sabse acha moment kya tha?
happy,hindi,"Yeh smile chhupti nahi hai tujhse, kya baat hai?",Kisne tujhe itna khush kiya?
happy,hindi,"Bahut achi energy hai tujh mein aaj, mast lag raha hai!","Yeh sab kaise shuru hua, batao?"
happy,hindi,Dekh ke lag raha hai sab kuch sahi chal raha hai aaj.,Sabse zyada khush kis baat se hua?
happy,hindi,Yeh khushwali baatein sunna acha lagta hai yaar.,"Aage kya hua, batao poora!"
happy,hindi,"Tu aaj kuch alag hi vibe mein hai, acha lag raha hai.",Kya specific hua hai aaj jo itna khush hai?
happy,hindi,Itni positivity dekh ke mann khush ho jaata hai.,"Bata na, kisne diya yeh surprise?"
happy,hinglish,Bhai teri happiness toh contagious hai yaar!,"Bata na, kya khaas hua hai aaj?"
happy,hinglish,Kuch good news mili kya? Spill karo!,"Itni excitement hai, poori story sunao!"
happy,hinglish,"Yaar aaj tu full on happy mode mein hai, I'm here for it!",Kya wajah hai itni saari khushi ki?
happy,hinglish,Tera mood dekh ke mera bhi din ban gaya honestly.,"So what actually happened, bata na!"
happy,hinglish,Bhai aaj toh tu full mast mood mein hai!,"Bata na, kya hua itna special?"
happy,hinglish,Yeh happy energy seriously contagious hai yaar.,Kya khaas hua aaj jo itna khush hai?
happy,hinglish,Tera smile dekh ke pata chal raha hai kuch good hua hai.,"Poori story sunao na, kaise hua?"
happy,hinglish,Itni khushi dekh ke lagta hai kuch bada hua hai.,Sabse pehle kya hua tha bata?
happy,hinglish,Aaj ka mood toh full on positive lag raha hai.,"Highlight kya tha aaj ka, bata?"
happy,hinglish,Yaar tera vibe dekh ke mera bhi din ban gaya.,Kisne diya itna acha surprise tujhe?
happy,hinglish,This happy mood suits you bahut acha lagta hai.,Kya khaas plan tha jo itna mast laga?
happy,hinglish,"Bhai tu toh aaj full energy mein hai, loving it!",Kis baat ne itna excited kar diya?
happy,hinglish,Itna mast mood dekh ke pata chal raha hai sab badhiya hai.,"Batao na, kya hua exactly?"
happy,hinglish,Yeh khushi ka level next level hai aaj toh!,"Aage kya hua, full detail do!"
happy,hinglish,"Bhai itni positivity, kuch toh badi baat hai!",Kisne yeh sab kiya itna special?
sad,english,"Hey, I'm right here. You don't have to go through this alone.",Want to share what's weighing on you?
sad,english,"It's okay to not be okay sometimes, take your time.",Has something specific been on your mind lately?
sad,english,"Want to talk about it? I'm listening, no judgment.","Whenever you're ready, what's going on?"
sad,english,You've been through hard things before and you made it through.,What's feeling the heaviest right now?
sad,english,"I'm right here, whenever you're ready to talk.",What's been sitting heavy on your heart?
sad,english,"It's okay to feel low, you don't need a reason.",Do you want to talk about it now?
sad,english,You don't have to carry this all by yourself.,What's the part that hurts the most?
sad,english,"Some days are just harder, and that's okay too.",Has something changed recently that's affecting you?
sad,english,"I'm not going to rush you, take all the time you need.",Is there something specific on your mind?
sad,english,"It's alright to feel this way, you're not overreacting.",What happened that made you feel like this?
sad,english,"Whatever it is, I'm not judging you at all.",Do you want to start from the beginning?
sad,english,"Your feelings matter, even on the hardest days.",What's making today feel so tough?
sad,english,I wish I could take some of this weight off you.,What's been the hardest part lately?
sad,english,You don't have to put on a brave face here.,What's really going on underneath all this?
sad,english,"This feeling is heavy, but you don't have to hold it alone.",Want to tell me what triggered this?
sad,hindi,"Yaar kya hua? Dil halka karna ho toh bata, main hoon yahan.",Kab se yeh sab feel kar raha hai?
sad,hindi,"Kabhi kabhi bura lagta hai, aur theek hai yaar, feel karne de khud ko.",Kya hua tha jo itna bura lag raha hai?
sad,hindi,"Akela mat feel kar, main sun raha hoon poora.","Shuru se bata, kya chal raha hai?"
sad,hindi,"Sab theek ho jaayega, abhi bas thoda time chahiye.",Iss waqt sabse zyada kya pareshan kar raha hai?
sad,hindi,"Main yahan hoon, jab bhi baat karne ka mann kare bata dena.",Dil mein kya chal raha hai abhi?
sad,hindi,"Udaas hona galat nahi hai, khud ko time de.",Kya kuch khaas hua hai jo aise feel ho raha hai?
sad,hindi,"Tu akela nahi hai isme, main saath hoon.",Sabse zyada kya pareshan kar raha hai?
sad,hindi,"Kabhi kabhi din bhari lagte hain, theek hai yaar.",Kuch badla hai kya recently jo aisa lag raha hai?
sad,hindi,"Jitna time chahiye le, koi rush nahi hai.",Kya specific baat hai jo mann mein chal rahi hai?
sad,hindi,"Yeh feeling sahi hai, overreact nahi kar raha tu.",Kya hua tha jo aisa lag raha hai?
sad,hindi,"Jo bhi hai, judge nahi kar raha main tujhe.","Shuru se bata, kya hua tha?"
sad,hindi,"Teri feelings matter karti hain, hard din mein bhi.",Aaj kya cheez itna mushkil bana rahi hai?
